date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:13:51	107/107	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2004%20Feb%202023%2014:13:50%20GMT	http://portfolio-lbtvgll.format.com/wknd	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/wknd.0.delayed	(from )
09:13:51	378145/378145	---MCZ	200	added ('OK')	text/html	etag:W/%225a1870ac43871d8092145a5cb55b669a%22	https://portfolio-lbtvgll.format.com/wknd	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/wknd.html	(from )
09:13:52	98/98	---MCZ	200	added ('OK')	text/plain	etag:W/%221d5f26af1550bdc44e23b6b616027700%22	https://portfolio-lbtvgll.format.com/robots.txt		(from )
09:13:52	1098/1098	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Feb%202023%2014:13:51%20GMT	https://portfolio-lbtvgll.format.com/e,r.href	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/e,r.href	(from https://portfolio-lbtvgll.format.com/wknd)
09:13:52	29316/29316	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Dec%202022%2016:26:40%20GMT	https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css	(from https://portfolio-lbtvgll.format.com/wknd)
09:13:52	121770/121770	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Dec%202022%2016:26:40%20GMT	https://portfolio-lbtvgll.format.com/static/theme_api/vendor/webtype_fonts.min-51d9b9edb8f956fb39da113609d790ba607fa4fbda053af8e378bb9233ef4a39.css	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/static/theme_api/vendor/webtype_fonts.min-51d9b9edb8f956fb39da113609d790ba607fa4fbda053af8e378bb9233ef4a39.css	(from https://portfolio-lbtvgll.format.com/wknd)
09:13:52	352/352	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Dec%202022%2016:03:35%20GMT	https://portfolio-lbtvgll.format.com/static/favicon-16-58eeac03d06e2402c16e494e44623ab6da7b9e6749eafd5e67b6508888c13452.png	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/static/favicon-16-58eeac03d06e2402c16e494e44623ab6da7b9e6749eafd5e67b6508888c13452.png	(from https://portfolio-lbtvgll.format.com/wknd)
09:13:53	575/575	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Dec%202022%2016:03:35%20GMT	https://portfolio-lbtvgll.format.com/static/favicon-32-7b151b5cb1ea57453cf4f6e4dca6e59f40b326568045ed7ee8e2da4ad0096e63.png	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/static/favicon-32-7b151b5cb1ea57453cf4f6e4dca6e59f40b326568045ed7ee8e2da4ad0096e63.png	(from https://portfolio-lbtvgll.format.com/wknd)
09:13:53	1098/1098	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Feb%202023%2014:13:53%20GMT	https://portfolio-lbtvgll.format.com/applewebkit/	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/applewebkit/index.html	(from https://portfolio-lbtvgll.format.com/wknd)
09:13:53	1098/1098	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Feb%202023%2014:13:53%20GMT	https://portfolio-lbtvgll.format.com/gecko/	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/gecko/index.html	(from https://portfolio-lbtvgll.format.com/wknd)
09:13:53	1098/1098	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Feb%202023%2014:13:53%20GMT	https://portfolio-lbtvgll.format.com/mozilla/	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/mozilla/index.html	(from https://portfolio-lbtvgll.format.com/wknd)
09:13:56	1634/1634	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Dec%202022%2016:03:35%20GMT	https://portfolio-lbtvgll.format.com/static/favicon-96-fd00130996e46dd74db83867237ee7b02e48d37456ed20a348ee43b5c6b6b576.png	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/static/favicon-96-fd00130996e46dd74db83867237ee7b02e48d37456ed20a348ee43b5c6b6b576.png	(from https://portfolio-lbtvgll.format.com/wknd)
09:13:56	3973/3973	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Dec%202022%2016:03:35%20GMT	https://portfolio-lbtvgll.format.com/static/favicon-192-36a03c4d1a4754694fea4f56150aa9d363ab3cbcc0dae286f87e3f47979c55f9.png	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/static/favicon-192-36a03c4d1a4754694fea4f56150aa9d363ab3cbcc0dae286f87e3f47979c55f9.png	(from https://portfolio-lbtvgll.format.com/wknd)
09:13:56	4484/4484	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Dec%202022%2016:26:40%20GMT	https://portfolio-lbtvgll.format.com/static/theme_api/v1/share_panel-1a26721acae26eabd7c32296e2ee8cf053d1a1a8d9f7c49f0df899bc27b784c1.css	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/static/theme_api/v1/share_panel-1a26721acae26eabd7c32296e2ee8cf053d1a1a8d9f7c49f0df899bc27b784c1.css	(from https://portfolio-lbtvgll.format.com/wknd)
09:13:57	3052/3052	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Dec%202022%2016:26:40%20GMT	https://portfolio-lbtvgll.format.com/static/theme_api/v1/protected_images-6cc002aad772e14af53bbbb966d0611491b39e25fc8fba42e94598f98d535828.css	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/static/theme_api/v1/protected_images-6cc002aad772e14af53bbbb966d0611491b39e25fc8fba42e94598f98d535828.css	(from https://portfolio-lbtvgll.format.com/wknd)
09:13:57	14897/14897	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Dec%202022%2016:26:40%20GMT	https://portfolio-lbtvgll.format.com/static/theme_api/v1/font-awesome.min-3149da3014aff38a256574aa7aa1b947387efee9cdc1fb2d39e234606f231c96.css	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/static/theme_api/v1/font-awesome.min-3149da3014aff38a256574aa7aa1b947387efee9cdc1fb2d39e234606f231c96.css	(from https://portfolio-lbtvgll.format.com/wknd)
09:13:57	1886/1886	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Dec%202022%2016:26:40%20GMT	https://portfolio-lbtvgll.format.com/static/theme_api/v1/theme_social-666d56afe440722dbf0325c8f10528dcc28546f5fab9eb19bc7098b0179fac58.css	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/static/theme_api/v1/theme_social-666d56afe440722dbf0325c8f10528dcc28546f5fab9eb19bc7098b0179fac58.css	(from https://portfolio-lbtvgll.format.com/wknd)
09:13:57	10735/10735	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Dec%202022%2016:26:40%20GMT	https://portfolio-lbtvgll.format.com/static/theme_api/v1/sales/cart-4d5bed841e04f35cada9bb41f30882005c189af13e193524545f285f7c279533.css	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/static/theme_api/v1/sales/cart-4d5bed841e04f35cada9bb41f30882005c189af13e193524545f285f7c279533.css	(from https://portfolio-lbtvgll.format.com/wknd)
